#N =          J1         KA         KC         J2          E
  327         13          3         11          5   4099.205
  328         16          6         10          1   4113.844
  329          7          2          6          7   4119.810
  330         18          2         16          1   4127.981
  331          8          0          8          7   4153.549
  332          5          5          1          7   4165.500
  333         12          5          7          5   4167.881
  334         10          8          2          5   4169.263
  335          6          4          2          7   4172.169
  336         14          1         13          5   4172.850
  337          9          9          1          5   4193.090
  338         19          2         18          1   4194.611
  339         12         10          2          3   4198.650
  340         15          1         15          5   4199.289
  341         11          7          5          5   4205.490
  342         20          0         20          1   4214.799
  343         13          9          5          3   4219.474
  344          7          3          5          7   4228.712
  345         16          3         13          3   4235.251
  346         13         11          3          1   4236.151
  347         11         11          1          3   4237.191
  348         14         10          4          1   4249.407
  349         17          5         13          1   4252.249
  350         15          6         10          3   4256.863
  351         16          7          9          1   4259.443
  352         12         12          0          1   4282.031
  353         13          4         10          5   4288.273
  354          8          1          7          7   4294.728
  355         14          8          6          3   4302.761
  356         12          6          6          5   4309.455
  357          6          5          1          7   4311.568
  358         15          9          7          1   4324.207
  359          9          1          9          7   4330.496
  360          7          4          4          7   4343.046
  361         17          3         15          3   4352.921
  362          8          2          6          7   4398.180
  363         14          2         12          5   4408.379
  364         18          3         15          1   4416.419
  365         18          1         17          3   4420.916
  366         10          9          1          5   4435.959
  367         11          8          4          5   4438.036
  368         19          1         19          3   4442.341
  369         16          4         12          3   4446.876
  370         15          7          9          3   4451.512
  371         13          5          9          5   4457.876
  372         17          6         12          1   4465.899
  373         16          8          8          1   4466.477
  374          8          3          5          7   4466.943
  375         15          2         14          5   4480.892
  376          7          5          3          7   4482.692
  377          6          6          0          7   4484.299
  378          9          2          8          7   4493.316
  379         12          7          5          5   4501.883
  380         16          0         16          5   4506.058
  381         13         10          4          3   4515.678
  382         10          0         10          7   4525.927
  383         12         11          1          3   4528.503
  384         19          3         17          1   4530.113
  385          8          4          4          7   4549.679
  386         14          9          5          3   4563.220
  387         14         11          3          1   4577.339
  388         20          1         19          1   4595.386
