j_i   		ka_i   		kc_i   		j_f   		ka_f   		kc_f   		H2_i(j)   		H2_f(j)   			sigmaU(Ang^2)   		sigmaE(Ang^2)   		E_i_H2O         		E_i_H2          		E_f_H2O         		E_f_H2          
1		1		1		5		3		3		3		1			2.567757790000E-02		6.223342487000E-04		3.715800000000E+01		7.302360000000E+02		5.062740000000E+02		1.217060000000E+02
1		1		1		5		4		2		3		1			1.566960686000E-02		1.061679715000E-02		3.715800000000E+01		7.302360000000E+02		6.164830000000E+02		1.217060000000E+02
1		1		1		5		5		1		3		1			1.153216167000E-02		3.249264030000E-02		3.715800000000E+01		7.302360000000E+02		7.577320000000E+02		1.217060000000E+02
1		1		1		6		0		6		3		1			3.419340164000E-03		1.378608692000E-04		3.715800000000E+01		7.302360000000E+02		4.474130000000E+02		1.217060000000E+02
1		1		1		6		1		5		3		1			3.190001267000E-03		4.844641019000E-04		3.715800000000E+01		7.302360000000E+02		5.449160000000E+02		1.217060000000E+02
1		1		1		6		2		4		3		1			7.183432265000E-03		4.128201642000E-03		3.715800000000E+01		7.302360000000E+02		6.057420000000E+02		1.217060000000E+02
1		1		1		6		3		3		3		1			8.253090205000E-03		1.030152894000E-02		3.715800000000E+01		7.302360000000E+02		6.650450000000E+02		1.217060000000E+02
1		1		1		6		4		2		3		1			1.178407847000E-02		3.481946075000E-02		3.715800000000E+01		7.302360000000E+02		7.644010000000E+02		1.217060000000E+02
1		1		1		6		5		1		3		1			1.857939032000E-03		1.220644200000E-02		3.715800000000E+01		7.302360000000E+02		9.038000000000E+02		1.217060000000E+02
1		1		1		7		1		7		3		1			3.439189332000E-03		1.443946886000E-03		3.715800000000E+01		7.302360000000E+02		5.875590000000E+02		1.217060000000E+02
1		1		1		7		2		6		3		1			8.622170973000E-04		1.694422476000E-03		3.715800000000E+01		7.302360000000E+02		7.120420000000E+02		1.217060000000E+02
1		1		1		7		3		5		3		1			1.778077623000E-03		7.555604507000E-03		3.715800000000E+01		7.302360000000E+02		8.209440000000E+02		1.217060000000E+02
1		1		1		7		4		4		3		1			1.052186037000E-03		7.979252068000E-03		3.715800000000E+01		7.302360000000E+02		9.352780000000E+02		1.217060000000E+02
1		1		1		8		0		8		3		1			8.732319640000E-04		2.252785700000E-03		3.715800000000E+01		7.302360000000E+02		7.457810000000E+02		1.217060000000E+02
1		1		1		8		1		7		3		1			2.219027536000E-04		1.344168247000E-03		3.715800000000E+01		7.302360000000E+02		8.869600000000E+02		1.217060000000E+02
1		1		1		9		1		9		3		1			1.820951646000E-04		1.305743754000E-03		3.715800000000E+01		7.302360000000E+02		9.227280000000E+02		1.217060000000E+02
2		0		2		0		0		0		3		3			3.790653287000E+00		6.054297364000E+00		7.013300000000E+01		7.302360000000E+02		0.000000000000E+00		7.302360000000E+02
2		0		2		1		1		1		3		3			1.420643393000E+01		1.746653308000E+01		7.013300000000E+01		7.302360000000E+02		3.715800000000E+01		7.302360000000E+02
2		0		2		2		0		2		3		3			0.000000000000E+00		0.000000000000E+00		7.013300000000E+01		7.302360000000E+02		7.013300000000E+01		7.302360000000E+02
2		0		2		2		1		1		3		3			2.993826008000E+01		2.591918076000E+01		7.013300000000E+01		7.302360000000E+02		9.524500000000E+01		7.302360000000E+02
2		0		2		2		2		0		3		1			1.040111142000E-01		2.765079908000E-01		7.013300000000E+01		7.302360000000E+02		1.365880000000E+02		1.217060000000E+02
2		0		2		2		2		0		3		3			3.709312803000E+00		2.585457235000E+00		7.013300000000E+01		7.302360000000E+02		1.365880000000E+02		7.302360000000E+02
2		0		2		3		1		3		3		1			4.080941815000E-01		1.147990526000E+00		7.013300000000E+01		7.302360000000E+02		1.423310000000E+02		1.217060000000E+02
2		0		2		3		1		3		3		3			1.210650705000E+01		8.202678102000E+00		7.013300000000E+01		7.302360000000E+02		1.423310000000E+02		7.302360000000E+02
2		0		2		3		2		2		3		1			4.106234635000E-02		2.508468300000E-01		7.013300000000E+01		7.302360000000E+02		2.067200000000E+02		1.217060000000E+02
2		0		2		3		2		2		3		3			2.514297679000E+00		1.270959488000E+00		7.013300000000E+01		7.302360000000E+02		2.067200000000E+02		7.302360000000E+02
2		0		2		3		3		1		3		1			2.349756114000E-03		8.667421120000E-02		7.013300000000E+01		7.302360000000E+02		2.873400000000E+02		1.217060000000E+02
2		0		2		3		3		1		3		3			2.265760275000E-01		8.358285073000E-02		7.013300000000E+01		7.302360000000E+02		2.873400000000E+02		7.302360000000E+02
2		0		2		4		0		4		3		1			7.883713983000E-02		6.144627698000E-01		7.013300000000E+01		7.302360000000E+02		2.223100000000E+02		1.217060000000E+02
2		0		2		4		0		4		3		3			2.030177638000E+00		9.617406353000E-01		7.013300000000E+01		7.302360000000E+02		2.223100000000E+02		7.302360000000E+02
2		0		2		4		1		3		3		1			1.878877328000E-02		4.787382818000E-01		7.013300000000E+01		7.302360000000E+02		2.760990000000E+02		1.217060000000E+02
2		0		2		4		1		3		3		3			2.900509122000E-01		1.114830152000E-01		7.013300000000E+01		7.302360000000E+02		2.760990000000E+02		7.302360000000E+02
2		0		2		4		2		2		3		1			5.412921637000E-03		8.981769624000E-01		7.013300000000E+01		7.302360000000E+02		3.165790000000E+02		1.217060000000E+02
2		0		2		4		2		2		3		3			1.757409569000E-01		5.848442273000E-02		7.013300000000E+01		7.302360000000E+02		3.165790000000E+02		7.302360000000E+02
2		0		2		4		3		1		3		1			5.019543209000E-03		2.998628993000E-03		7.013300000000E+01		7.302360000000E+02		3.859200000000E+02		1.217060000000E+02
2		0		2		4		3		1		3		3			1.160272028000E-01		3.083379559000E-02		7.013300000000E+01		7.302360000000E+02		3.859200000000E+02		7.302360000000E+02
2		0		2		4		4		0		3		1			2.984696133000E-03		3.881516199000E-05		7.013300000000E+01		7.302360000000E+02		4.947130000000E+02		1.217060000000E+02
2		0		2		5		1		5		3		1			5.583221069000E-04		2.559804393000E-01		7.013300000000E+01		7.302360000000E+02		3.269710000000E+02		1.217060000000E+02
2		0		2		5		1		5		3		3			2.995330262000E-01		9.621686495000E-02		7.013300000000E+01		7.302360000000E+02		3.269710000000E+02		7.302360000000E+02
2		0		2		5		2		4		3		1			5.019665566000E-03		1.711771181000E-03		7.013300000000E+01		7.302360000000E+02		4.171190000000E+02		1.217060000000E+02
2		0		2		5		3		3		3		1			1.309892476000E-02		2.538549437000E-05		7.013300000000E+01		7.302360000000E+02		5.062740000000E+02		1.217060000000E+02
2		0		2		5		4		2		3		1			1.986614650000E-02		7.721160882000E-03		7.013300000000E+01		7.302360000000E+02		6.164830000000E+02		1.217060000000E+02
2		0		2		5		5		1		3		1			3.630575515000E-03		7.940142694000E-03		7.013300000000E+01		7.302360000000E+02		7.577320000000E+02		1.217060000000E+02
2		0		2		6		0		6		3		1			5.519546992000E-03		8.853217232000E-04		7.013300000000E+01		7.302360000000E+02		4.474130000000E+02		1.217060000000E+02
2		0		2		6		1		5		3		1			8.926062084000E-03		3.222349497000E-04		7.013300000000E+01		7.302360000000E+02		5.449160000000E+02		1.217060000000E+02
2		0		2		6		2		4		3		1			3.854002776000E-02		1.201614290000E-02		7.013300000000E+01		7.302360000000E+02		6.057420000000E+02		1.217060000000E+02
2		0		2		6		3		3		3		1			2.739509502000E-02		2.306270179000E-02		7.013300000000E+01		7.302360000000E+02		6.650450000000E+02		1.217060000000E+02
2		0		2		6		4		2		3		1			7.439055694000E-03		1.717016075000E-02		7.013300000000E+01		7.302360000000E+02		7.644010000000E+02		1.217060000000E+02
2		0		2		6		5		1		3		1			2.206656729000E-03		1.232641606000E-02		7.013300000000E+01		7.302360000000E+02		9.038000000000E+02		1.217060000000E+02
2		0		2		7		1		7		3		1			6.973379358000E-03		1.401183951000E-03		7.013300000000E+01		7.302360000000E+02		5.875590000000E+02		1.217060000000E+02
2		0		2		7		2		6		3		1			4.569621901000E-03		6.603855377000E-03		7.013300000000E+01		7.302360000000E+02		7.120420000000E+02		1.217060000000E+02
2		0		2		7		3		5		3		1			9.481774029000E-03		3.286251467000E-02		7.013300000000E+01		7.302360000000E+02		8.209440000000E+02		1.217060000000E+02
2		0		2		7		4		4		3		1			2.721326096000E-03		1.775254066000E-02		7.013300000000E+01		7.302360000000E+02		9.352780000000E+02		1.217060000000E+02
2		0		2		8		0		8		3		1			3.286849037000E-03		6.501999972000E-03		7.013300000000E+01		7.302360000000E+02		7.457810000000E+02		1.217060000000E+02
2		0		2		8		1		7		3		1			5.659394891000E-04		2.894401733000E-03		7.013300000000E+01		7.302360000000E+02		8.869600000000E+02		1.217060000000E+02
2		0		2		8		2		6		3		1			6.881613686000E-04		5.739698910000E-03		7.013300000000E+01		7.302360000000E+02		9.904120000000E+02		1.217060000000E+02
2		0		2		9		1		9		3		1			9.421441840000E-04		5.785720123000E-03		7.013300000000E+01		7.302360000000E+02		9.227280000000E+02		1.217060000000E+02
2		1		1		0		0		0		3		3			6.642766086000E-01		1.293829008000E+00		9.524500000000E+01		7.302360000000E+02		0.000000000000E+00		7.302360000000E+02
2		1		1		1		1		1		3		3			9.880078971000E+00		1.444179733000E+01		9.524500000000E+01		7.302360000000E+02		3.715800000000E+01		7.302360000000E+02
2		1		1		2		0		2		3		3			3.217885075000E+01		3.758730312000E+01		9.524500000000E+01		7.302360000000E+02		7.013300000000E+01		7.302360000000E+02
2		1		1		2		1		1		3		3			0.000000000000E+00		0.000000000000E+00		9.524500000000E+01		7.302360000000E+02		9.524500000000E+01		7.302360000000E+02
2		1		1		2		2		0		3		1			2.812450910000E+00		5.940687214000E+00		9.524500000000E+01		7.302360000000E+02		1.365880000000E+02		1.217060000000E+02
2		1		1		2		2		0		3		3			1.897141148000E+01		1.504200064000E+01		9.524500000000E+01		7.302360000000E+02		1.365880000000E+02		7.302360000000E+02
2		1		1		3		1		3		3		1			1.175335465000E+00		2.610736452000E+00		9.524500000000E+01		7.302360000000E+02		1.423310000000E+02		1.217060000000E+02
2		1		1		3		1		3		3		3			7.357472006000E+00		5.659976284000E+00		9.524500000000E+01		7.302360000000E+02		1.423310000000E+02		7.302360000000E+02
2		1		1		3		2		2		3		1			9.047545484000E-02		3.937865745000E-01		9.524500000000E+01		7.302360000000E+02		2.067200000000E+02		1.217060000000E+02
2		1		1		3		2		2		3		3			5.541637864000E+00		3.124490031000E+00		9.524500000000E+01		7.302360000000E+02		2.067200000000E+02		7.302360000000E+02
2		1		1		3		3		1		3		1			6.002249599000E-03		1.047375652000E-01		9.524500000000E+01		7.302360000000E+02		2.873400000000E+02		1.217060000000E+02
2		1		1		3		3		1		3		3			6.644342299000E-01		2.689716094000E-01		9.524500000000E+01		7.302360000000E+02		2.873400000000E+02		7.302360000000E+02
2		1		1		4		0		4		3		1			3.805553873000E-02		2.030389723000E-01		9.524500000000E+01		7.302360000000E+02		2.223100000000E+02		1.217060000000E+02
2		1		1		4		0		4		3		3			1.602164656000E+00		8.435324383000E-01		9.524500000000E+01		7.302360000000E+02		2.223100000000E+02		7.302360000000E+02
2		1		1		4		1		3		3		1			9.038646939000E-02		1.214145307000E+00		9.524500000000E+01		7.302360000000E+02		2.760990000000E+02		1.217060000000E+02
2		1		1		4		1		3		3		3			7.067267404000E-01		2.986718661000E-01		9.524500000000E+01		7.302360000000E+02		2.760990000000E+02		7.302360000000E+02
2		1		1		4		2		2		3		1			1.107411429000E-02		4.769968328000E-01		9.524500000000E+01		7.302360000000E+02		3.165790000000E+02		1.217060000000E+02
2		1		1		4		2		2		3		3			2.084264630000E-01		7.575308741000E-02		9.524500000000E+01		7.302360000000E+02		3.165790000000E+02		7.302360000000E+02
2		1		1		4		3		1		3		1			5.515825105000E-03		4.719416057000E-03		9.524500000000E+01		7.302360000000E+02		3.859200000000E+02		1.217060000000E+02
2		1		1		4		3		1		3		3			2.327940108000E-01		6.692149251000E-02		9.524500000000E+01		7.302360000000E+02		3.859200000000E+02		7.302360000000E+02
2		1		1		4		4		0		3		1			9.014223542000E-03		6.383937161000E-04		9.524500000000E+01		7.302360000000E+02		4.947130000000E+02		1.217060000000E+02
2		1		1		5		1		5		3		1			1.172629853000E-03		7.951224636000E-02		9.524500000000E+01		7.302360000000E+02		3.269710000000E+02		1.217060000000E+02
2		1		1		5		1		5		3		3			4.316231916000E-01		1.511839746000E-01		9.524500000000E+01		7.302360000000E+02		3.269710000000E+02		7.302360000000E+02
2		1		1		5		2		4		3		1			7.641079652000E-03		4.139665447000E-03		9.524500000000E+01		7.302360000000E+02		4.171190000000E+02		1.217060000000E+02
2		1		1		5		2		4		3		3			8.594346945000E-02		2.241847108000E-02		9.524500000000E+01		7.302360000000E+02		4.171190000000E+02		7.302360000000E+02
2		1		1		5		3		3		3		1			5.890457773000E-03		2.265323344000E-04		9.524500000000E+01		7.302360000000E+02		5.062740000000E+02		1.217060000000E+02
2		1		1		5		4		2		3		1			5.600164999000E-02		1.244151317000E-02		9.524500000000E+01		7.302360000000E+02		6.164830000000E+02		1.217060000000E+02
2		1		1		5		5		1		3		1			1.158260052000E-02		2.038920481000E-02		9.524500000000E+01		7.302360000000E+02		7.577320000000E+02		1.217060000000E+02
2		1		1		6		0		6		3		1			2.599432857000E-03		7.937227656000E-04		9.524500000000E+01		7.302360000000E+02		4.474130000000E+02		1.217060000000E+02
2		1		1		6		1		5		3		1			1.082420632000E-02		1.556267003000E-05		9.524500000000E+01		7.302360000000E+02		5.449160000000E+02		1.217060000000E+02
2		1		1		6		2		4		3		1			1.937578729000E-02		3.198429196000E-03		9.524500000000E+01		7.302360000000E+02		6.057420000000E+02		1.217060000000E+02
2		1		1		6		3		3		3		1			5.731607121000E-02		3.358168483000E-02		9.524500000000E+01		7.302360000000E+02		6.650450000000E+02		1.217060000000E+02
2		1		1		6		4		2		3		1			1.054652725000E-02		1.971288766000E-02		9.524500000000E+01		7.302360000000E+02		7.644010000000E+02		1.217060000000E+02
2		1		1		6		5		1		3		1			6.340487374000E-03		3.100658942000E-02		9.524500000000E+01		7.302360000000E+02		9.038000000000E+02		1.217060000000E+02
2		1		1		7		1		7		3		1			3.825055995000E-03		3.355267906000E-04		9.524500000000E+01		7.302360000000E+02		5.875590000000E+02		1.217060000000E+02
2		1		1		7		2		6		3		1			6.056928555000E-03		6.678611113000E-03		9.524500000000E+01		7.302360000000E+02		7.120420000000E+02		1.217060000000E+02
2		1		1		7		3		5		3		1			5.079490187000E-03		1.484597334000E-02		9.524500000000E+01		7.302360000000E+02		8.209440000000E+02		1.217060000000E+02
2		1		1		7		4		4		3		1			7.827341520000E-03		4.516174494000E-02		9.524500000000E+01		7.302360000000E+02		9.352780000000E+02		1.217060000000E+02
2		1		1		8		0		8		3		1			1.674617188000E-03		2.635029132000E-03		9.524500000000E+01		7.302360000000E+02		7.457810000000E+02		1.217060000000E+02
2		1		1		8		1		7		3		1			1.493083963000E-03		6.643612424000E-03		9.524500000000E+01		7.302360000000E+02		8.869600000000E+02		1.217060000000E+02
2		1		1		8		2		6		3		1			3.888101597000E-04		2.910368801000E-03		9.524500000000E+01		7.302360000000E+02		9.904120000000E+02		1.217060000000E+02
2		1		1		9		1		9		3		1			3.757167934000E-04		2.032772621000E-03		9.524500000000E+01		7.302360000000E+02		9.227280000000E+02		1.217060000000E+02
2		2		0		0		0		0		3		3			5.719206884000E-01		1.623722404000E+00		1.365880000000E+02		7.302360000000E+02		0.000000000000E+00		7.302360000000E+02
2		2		0		1		1		1		3		3			4.604677812000E+00		9.288775427000E+00		1.365880000000E+02		7.302360000000E+02		3.715800000000E+01		7.302360000000E+02
2		2		0		2		0		2		3		3			3.345456192000E+00		5.198419722000E+00		1.365880000000E+02		7.302360000000E+02		7.013300000000E+01		7.302360000000E+02
2		2		0		2		1		1		3		3			1.592968933000E+01		2.071344498000E+01		1.365880000000E+02		7.302360000000E+02		9.524500000000E+01		7.302360000000E+02
2		2		0		2		2		0		3		3			0.000000000000E+00		0.000000000000E+00		1.365880000000E+02		7.302360000000E+02		1.365880000000E+02		7.302360000000E+02
2		2		0		3		1		3		3		3			4.364818199000E+00		4.219349096000E+00		1.365880000000E+02		7.302360000000E+02		1.423310000000E+02		7.302360000000E+02
2		2		0		3		2		2		3		1			5.207370948000E-01		1.435108171000E+00		1.365880000000E+02		7.302360000000E+02		2.067200000000E+02		1.217060000000E+02
2		2		0		3		2		2		3		3			8.037950948000E+00		5.501606022000E+00		1.365880000000E+02		7.302360000000E+02		2.067200000000E+02		7.302360000000E+02
2		2		0		3		3		1		3		1			1.161673216000E-01		8.843513771000E-01		1.365880000000E+02		7.302360000000E+02		2.873400000000E+02		1.217060000000E+02
2		2		0		3		3		1		3		3			4.335241120000E+00		2.065743157000E+00		1.365880000000E+02		7.302360000000E+02		2.873400000000E+02		7.302360000000E+02
2		2		0		4		0		4		3		1			5.392110083000E-02		1.744401145000E-01		1.365880000000E+02		7.302360000000E+02		2.223100000000E+02		1.217060000000E+02
2		2		0		4		0		4		3		3			1.111574988000E+00		7.056101281000E-01		1.365880000000E+02		7.302360000000E+02		2.223100000000E+02		7.302360000000E+02
2		2		0		4		1		3		3		1			2.985452927000E-02		1.904852821000E-01		1.365880000000E+02		7.302360000000E+02		2.760990000000E+02		1.217060000000E+02
