#N =          J1         KA         KC         J2          E
  334          9          9          0          5   4193.090
  335         19          1         18          1   4194.611
  336          7          2          5          7   4195.155
  337         12         10          3          3   4198.649
  338         15          0         15          5   4199.289
  339         11          7          4          5   4205.583
  340         20          1         20          1   4214.799
  341         13          9          4          3   4219.477
  342         16          4         13          3   4236.083
  343         13         11          2          1   4236.151
  344         11         11          0          3   4237.191
  345         16          7         10          1   4243.781
  346         17          4         13          1   4247.694
  347         14         10          5          1   4249.407
  348          7          3          4          7   4255.757
  349         13          3         10          5   4280.252
  350         12         12          1          1   4282.031
  351          8          2          7          7   4297.007
  352         15          6          9          3   4298.461
  353         14          8          7          3   4302.547
  354         12          6          7          5   4304.917
  355          6          5          2          7   4311.536
  356         15          9          6          1   4324.246
  357          9          0          9          7   4330.470
  358          7          4          3          7   4346.712
  359         17          2         15          3   4352.904
  360         14          3         12          5   4408.646
  361         13          4          9          5   4412.119
  362         18          4         15          1   4416.572
  363          8          3          6          7   4420.037
  364         18          2         17          3   4420.916
  365         17          5         12          1   4434.297
  366         10          9          2          5   4435.959
  367         11          8          3          5   4438.039
  368         19          0         19          3   4442.341
  369         16          5         12          3   4455.956
  370         15          7          8          3   4458.655
  371         16          8          9          1   4464.653
  372         15          1         14          5   4480.888
  373          7          5          2          7   4482.879
  374          6          6          1          7   4484.299
  375          9          1          8          7   4492.319
  376         12          7          6          5   4501.544
  377         16          1         16          5   4506.058
  378         13          5          8          5   4511.045
  379         13         10          3          3   4515.678
  380         10          1         10          7   4525.936
  381         12         11          2          3   4528.503
  382         19          2         17          1   4530.111
  383          8          4          5          7   4539.879
  384         14          9          6          3   4563.209
  385         17          6         11          1   4566.279
  386         14         11          4          1   4577.339
  387         20          2         19          1   4595.386
  388         13         12          1          1   4597.568
  389         21          0         21          1   4614.343
  390         14          4         11          5   4616.973
  391         15         10          5          1   4617.096
  392          9          2          7          7   4620.034
  393         17          3         14          3   4620.966
  394         13          6          7          5   4639.717
  395         16          6         11          3   4654.426
  396          7          6          1          7   4654.539
  397         15          8          7          3   4675.278
  398         18          5         14          1   4676.141
  399          8          5          4          7   4679.242
  400         17          7         10          1   4700.716
  401         11          9          2          5   4703.745
  402          9          3          6          7   4704.352
  403         10          2          9          7   4708.443
  404         16          9          8          1   4719.804
  405         12          8          5          5   4732.219
  406         10         10          1          5   4734.937
  407         18          3         16          3   4736.518
  408         15          2         13          5   4736.547
  409         11          0         11          7   4739.930
  410          9          4          5          7   4782.467
  411         14          5         10          5   4801.295
  412         19          1         18          3   4803.141
  413         16          2         15          5   4807.470
  414         20          1         20          3   4823.329
  415         13          7          6          5   4824.752
  416         17          0         17          5   4831.382
  417         19          3         16          1   4838.780
  418         13         11          2          3   4844.681
  419          8          6          3          7   4849.834
  420         16          7         10          3   4852.311
  421         17          4         13          3   4856.224
  422         14         10          5          3   4857.937
  423          7          7          0          7   4858.860
  424         10          3          8          7   4865.836
  425         12         12          1          3   4890.561
  426         17          8          9          1   4894.413
  427          9          5          4          7   4903.876
  428         18          6         13          1   4907.202
  429         15          9          6          3   4932.776
  430         14         12          3          1   4937.951
  431         11          1         10          7   4942.065
  432         15         11          4          1   4943.696
  433         20          3         18          1   4950.771
  434         15          3         12          5   4962.953
  435         12          1         12          7   4972.486
  436         14          6          9          5   4978.247
  437         13         13          0          1   4991.162
  438         12          9          4          5   4996.632
  439         11         10          1          5   5002.026
  440         10          4          7          7   5005.713
  441         16         10          7          1   5010.430
  442         21          1         20          1   5014.712
  443         18          4         15          3   5025.102
  444         22          1         22          1   5032.442
  445         17          5         12          3   5042.827
  446         13          8          5          5   5052.140
  447          8          7          2          7   5053.300
  448          9          6          3          7   5070.624
  449         16          8          9          3   5073.183
  450         16          3         14          5   5083.203
  451         11          2          9          7   5115.431
  452         19          4         15          1   5117.770
  453         18          7         12          1   5121.030
  454         19          2         17          3   5138.641
  455         17          9          8          1   5142.162
  456         10          5          6          7   5148.984
  457         15          4         11          5   5149.130
  458         17          1         16          5   5152.595
  459         14          7          8          5   5172.128
  460         17          6         11          3   5174.809
  461         18          1         18          5   5175.261
  462         14         11          4          3   5185.869
  463         12          2         11          7   5194.612
