#N =          J1         KA         KC         J2          E
  564         21          2         20          2   5258.124
  565         21          3         19          0   5268.259
  566          8          1          7          8   5268.376
  567         22          0         22          2   5275.854
  568          6          5          1          8   5285.216
  569         18          6         12          2   5287.203
  570         19          2         18          4   5289.965
  571          9          1          9          8   5304.144
  572         17         10          8          0   5307.948
  573         20          0         20          4   5310.153
  574          7          4          4          8   5316.694
  575         22          1         21          0   5330.885
  576         13         11          3          4   5331.505
  577         14          3         11          6   5343.248
  578         14         10          4          4   5344.761
  579         23          1         23          0   5347.390
  580         17          5         13          4   5347.603
  581         16          7          9          4   5354.797
  582         13          6          8          6   5359.128
  583         19          5         15          2   5362.182
  584          8          2          6          8   5371.828
  585         12         12          0          4   5377.385
  586         17          9          9          2   5385.170
  587         18          7         11          2   5417.883
  588         15          9          7          4   5419.561
  589         11          9          3          6   5433.980
  590          8          3          5          8   5440.591
  591          7          5          3          8   5456.340
  592         20          4         16          0   5457.803
  593          6          6          0          8   5457.947
  594         12          8          4          6   5462.470
  595         10         10          0          6   5465.173
  596         15          3         13          6   5466.893
  597          9          2          8          8   5466.964
  598         18          9          9          0   5469.758
  599         19          7         13          0   5473.807
  600         10          0         10          8   5499.575
  601         14          4         10          6   5502.307
  602         18          3         15          4   5511.773
  603         20          3         17          2   5522.992
  604          8          4          4          8   5523.327
  605         16          1         15          6   5537.705
  606         15         12          4          2   5546.725
  607         13          7          7          6   5553.930
  608         17          6         12          4   5561.253
  609         17          1         17          6   5561.618
  610         16          8          8          4   5561.831
  611         16         12          4          0   5572.088
  612         15         13          3          0   5573.813
  613         14         13          1          2   5574.337
  614         16         11          5          2   5578.807
  615         18          8         10          2   5595.403
  616          9          3          7          8   5606.367
  617         19          6         14          2   5612.214
  618         14          5          9          6   5613.094
  619         21          4         18          0   5617.156
  620         19          3         17          4   5625.467
  621          7          6          2          8   5628.183
  622         17         11          7          0   5630.921
  623         21          3         19          2   5633.377
  624         14         14          0          0   5634.349
  625          8          5          3          8   5653.662
  626         14         11          3          4   5672.693
  627         17         10          8          2   5673.066
  628         10          1          9          8   5681.675
  629         20          1         19          4   5690.740
  630         13         12          2          4   5692.922
  631         15          4         12          6   5695.043
  632         22          1         21          2   5696.003
  633         19          8         12          0   5697.898
  634         21          1         21          4   5709.697
  635         15         10          6          4   5712.448
  636         23          1         23          2   5712.508
  637         11          1         11          8   5713.582
  638         20          5         15          0   5723.207
  639         22          2         20          0   5725.992
  640         12          9          3          6   5726.869
  641         14          6          8          6   5731.113
  642         11         10          2          6   5732.262
  643          9          4          6          8   5734.695
  644         18         10          8          0   5753.406
  645         17          7         11          4   5765.440
  646         18          4         14          4   5769.320
  647         13          8          6          6   5782.315
  648         23          2         22          0   5787.316
  649         24          0         24          0   5802.600
  650         16          2         14          6   5813.395
  651         16          9          7          4   5815.291
  652         20          4         16          2   5822.921
  653          8          6          2          8   5823.511
  654          7          7          1          8   5832.508
  655         10          2          8          8   5832.845
  656         18          9          9          2   5834.876
  657         19          7         13          2   5838.925
  658          9          5          5          8   5875.001
  659         17          2         16          6   5882.832
  660         15          5         11          6   5896.339
  661         14          7          7          6   5905.276
  662         18          0         18          6   5905.497
  663         11          2         10          8   5915.881
  664         19          4         16          4   5934.198
  665         16         12          4          2   5937.206
  666         20          6         14          0   5937.325
  667         21          5         17          0   5937.908
  668         15         13          3          2   5938.931
  669         10          3          7          8   5938.961
  670         19          9         11          0   5944.066
  671         12          0         12          8   5946.132
  672         16         13          3          0   5963.358
  673         21          4         18          2   5982.274
  674         18          5         13          4   5984.223
  675         17          8         10          4   5985.201
  676         17         12          6          0   5987.842
  677         17         11          7          2   5996.039
  678         15         14          2          0   5998.338
  679         14         14          0          2   5999.467
  680         10          4          6          8   6018.899
  681         12         10          2          6   6024.240
  682          8          7          1          8   6026.949
  683         14         12          2          4   6033.305
  684         15         11          5          4   6039.050
  685          9          6          4          8   6044.135
  686         13          9          5          6   6045.064
  687         20          2         18          4   6046.124
  688         16          3         13          6   6060.841
  689         11         11          1          6   6062.781
  690         19          8         12          2   6063.016
  691         18         11          7          0   6073.898
  692         15          6         10          6   6082.453
  693         13         13          1          4   6086.516
  694         20          5         15          2   6088.325
  695         20          7         13          0   6090.813
  696         22          2         20          2   6091.110
  697         11          3          9          8   6092.286
  698         22          3         19          0   6094.911
  699         16         10          6          4   6105.790
  700         21          2         20          4   6110.066
  701         18         10          8          2   6118.524
  702         22          0         22          4   6127.796
  703         14          8          6          6   6128.351
  704         10          5          5          8   6129.467
  705         18          6         12          4   6139.145
  706         23          2         22          2   6152.434
  707         24          0         24          2   6167.718
  708         12          1         11          8   6168.195
  709         17          3         15          6   6178.511
  710         13          1         13          8   6197.240
  711         23          3         21          0   6202.267
  712         19          5         15          4   6214.124
  713         19         10         10          0   6225.138
  714         21          6         16          0   6228.315
  715         17          9          9          4   6237.112
  716         20          8         12          0   6241.178
  717          9          7          3          8   6246.390
  718         18          1         17          6   6246.506
  719         11          4          8          8   6246.509
  720         24          1         23          0   6262.300
  721          8          8          0          8   6262.831
  722         19          1         19          6   6267.931
  723         18          7         11          4   6269.825
  724         16          4         12          6   6272.466
  725         25          1         25          0   6276.364
  726         15          7          9          6   6277.102
  727         10          6          4          8   6290.950
  728         20          6         14          2   6302.443
  729         21          5         17          2   6303.026
  730         19          9         11          2   6309.184
  731         16         13          3          2   6328.476
  732         13         10          4          6   6341.268
  733         17         12          6          2   6352.960
  734         12         11          1          6   6354.093
  735         12          2         10          8   6362.783
  736         15         14          2          2   6363.456
  737         20          3         17          4   6374.934
  738         17         13          5          0   6377.982
  739         16         14          2          0   6387.147
  740         14          9          5          6   6388.810
  741         11          5          7          8   6395.446
  742         15         12          4          4   6398.667
  743         14         13          1          4   6426.279
  744         18         12          6          0   6429.037
  745         16          5         11          6   6430.132
  746         16         11          5          4   6430.749
  747         22          4         18          0   6435.933
  748         18         11          7          2   6439.016
  749         13          2         12          8   6439.199
  750         17          4         14          6   6446.918
  751         18          8         10          4   6447.345
  752         20          9         11          0   6453.079
  753         15         15          1          0   6455.003
  754         20          7         13          2   6455.931
  755         22          3         19          2   6460.029
  756         19          6         14          4   6464.156
  757         14          0         14          8   6466.900
  758          9          8          2          8   6481.483
  759         21          3         19          4   6485.319
  760         21          7         15          0   6488.611
  761         10          7          3          8   6491.108
  762         15          8          8          6   6500.208
  763         12          3          9          8   6519.953
  764         17         10          8          4   6525.008
  765         19         11          9          0   6542.836
  766         22          1         21          4   6547.945
  767         16          6         10          6   6547.964
  768         18          2         16          6   6562.101
  769         11          6          6          8   6562.600
  770         23          1         23          4   6564.450
  771         23          3         21          2   6567.385
  772         19         10         10          2   6590.256
  773         23          4         20          0   6591.184
  774         21          6         16          2   6593.433
  775         20          8         12          2   6606.296
  776         24          1         23          2   6627.418
  777         12          4          8          8   6627.644
  778         19          2         18          6   6628.731
  779         25          1         25          2   6641.482
  780         20          0         20          6   6648.919
